,Probe_ID,statistic,pvalue,adj_p_value
1154,229228_at,-2.100691792,5.63E-02,1.00E+00
1087,227826_s_at,-2.101848069,6.14E-02,1.00E+00
1088,227827_at,-2.111103184,6.04E-02,1.00E+00
441,206898_at,-2.111203168,6.20E-02,1.00E+00
1382,238462_at,-2.127438825,5.44E-02,1.00E+00
1100,228133_s_at,-2.129321165,6.08E-02,1.00E+00
389,206167_s_at,-2.142925889,4.32E-02,1.00E+00
342,205778_at,-2.149139354,5.45E-02,1.00E+00
340,205767_at,-2.155571857,4.06E-02,1.00E+00
345,205792_at,-2.158329481,5.89E-02,1.00E+00
1114,228390_at,-2.160032919,4.06E-02,1.00E+00
134,203000_at,-2.1612358,5.54E-02,1.00E+00
548,210135_s_at,-2.167852973,4.97E-02,1.00E+00
1107,228262_at,-2.17135827,5.19E-02,1.00E+00
311,205475_at,-2.17271267,5.63E-02,1.00E+00
563,210387_at,-2.178545433,4.82E-02,1.00E+00
406,206326_at,-2.178595587,5.26E-02,1.00E+00
616,212730_at,-2.18038824,5.36E-02,1.00E+00
288,205242_at,-2.185433293,4.83E-02,1.00E+00
132,202992_at,-2.191113847,5.23E-02,1.00E+00
1399,239381_at,-2.201262919,4.94E-02,1.00E+00
1255,232119_at,-2.2162679,5.32E-02,1.00E+00
1346,236300_at,-2.229870555,4.49E-02,1.00E+00
743,216243_s_at,-2.242694101,3.88E-02,1.00E+00
1311,235229_at,-2.251723068,4.03E-02,1.00E+00
1429,241824_at,-2.258520668,4.00E-02,1.00E+00
886,221974_at,-2.268713732,3.98E-02,1.00E+00
521,209763_at,-2.276506829,4.66E-02,1.00E+00
1174,229623_at,-2.327904355,3.25E-02,1.00E+00
1118,228462_at,-2.345612173,3.11E-02,1.00E+00
675,214012_at,-2.346889701,3.22E-02,1.00E+00
1092,227949_at,-2.356063148,3.66E-02,1.00E+00
1444,242457_at,-2.358600869,3.75E-02,1.00E+00
366,205943_at,-2.377072016,2.67E-02,1.00E+00
388,206157_at,-2.377382643,3.53E-02,1.00E+00
1452,242736_at,-2.387240272,3.40E-02,1.00E+00
1425,241762_at,-2.387753047,3.33E-02,1.00E+00
899,222722_at,-2.389229271,3.69E-02,1.00E+00
313,205498_at,-2.397168458,2.86E-02,1.00E+00
1261,232315_at,-2.436728548,3.27E-02,1.00E+00
95,201496_x_at,-2.441980378,3.52E-02,1.00E+00
1248,231964_at,-2.442018482,2.25E-02,1.00E+00
561,210303_at,-2.455258626,3.57E-02,1.00E+00
168,203915_at,-2.456416841,2.64E-02,1.00E+00
1467,244056_at,-2.463121454,3.18E-02,1.00E+00
711,214967_at,-2.468033394,3.08E-02,1.00E+00
573,210674_s_at,-2.4764693,2.36E-02,1.00E+00
1190,229947_at,-2.493723098,2.62E-02,1.00E+00
1138,228854_at,-2.506196912,3.16E-02,1.00E+00
1205,230372_at,-2.521467143,2.25E-02,1.00E+00
411,206432_at,-2.523035856,2.76E-02,1.00E+00
125,202768_at,-2.555838979,2.37E-02,1.00E+00
579,210873_x_at,-2.582897825,2.32E-02,1.00E+00
726,215268_at,-2.586495228,2.53E-02,1.00E+00
1315,235419_at,-2.592076645,2.11E-02,1.00E+00
248,204846_at,-2.595447934,2.40E-02,1.00E+00
1411,240146_at,-2.602883554,1.62E-02,1.00E+00
1062,227526_at,-2.603103121,2.59E-02,1.00E+00
913,223395_at,-2.604467588,1.93E-02,1.00E+00
284,205220_at,-2.608927633,1.93E-02,1.00E+00
719,215078_at,-2.610434893,2.42E-02,1.00E+00
276,205157_s_at,-2.617449349,2.29E-02,1.00E+00
496,209292_at,-2.634801934,1.36E-02,1.00E+00
302,205381_at,-2.637982196,1.83E-02,1.00E+00
917,223503_at,-2.6388659,2.44E-02,1.00E+00
368,205959_at,-2.640633378,2.61E-02,1.00E+00
15,1553613_s_at,-2.641207353,1.78E-02,1.00E+00
786,219049_at,-2.642062051,1.60E-02,1.00E+00
1396,239102_s_at,-2.656638312,2.03E-02,1.00E+00
234,204719_at,-2.657952973,2.18E-02,1.00E+00
204,204422_s_at,-2.670793911,2.27E-02,1.00E+00
171,203980_at,-2.675595355,2.38E-02,1.00E+00
481,208335_s_at,-2.688057954,2.28E-02,1.00E+00
28,1554503_a_at,-2.70460054,2.32E-02,1.00E+00
1113,228370_at,-2.715091205,1.65E-02,1.00E+00
647,213479_at,-2.725049627,1.20E-02,1.00E+00
1084,227769_at,-2.728324457,1.71E-02,1.00E+00
641,213418_at,-2.749777857,1.95E-02,1.00E+00
741,216005_at,-2.751437068,2.13E-02,1.00E+00
906,222924_at,-2.753606798,2.01E-02,1.00E+00
198,204338_s_at,-2.762955008,1.54E-02,1.00E+00
560,210302_s_at,-2.768488192,1.97E-02,1.00E+00
398,206211_at,-2.779073477,1.87E-02,1.00E+00
315,205501_at,-2.788209091,1.08E-02,1.00E+00
1401,239519_at,-2.793257244,1.75E-02,1.00E+00
1042,227183_at,-2.809632096,1.91E-02,1.00E+00
793,219288_at,-2.819110622,8.21E-03,1.00E+00
762,217388_s_at,-2.845621198,1.17E-02,1.00E+00
62,1559391_s_at,-2.84798075,1.27E-02,1.00E+00
114,202409_at,-2.853148127,8.22E-03,1.00E+00
864,221031_s_at,-2.864940404,8.45E-03,1.00E+00
1009,226587_at,-2.866202145,9.44E-03,1.00E+00
220,204591_at,-2.867418359,1.09E-02,1.00E+00
1418,241272_at,-2.881570616,1.69E-02,1.00E+00
987,226071_at,-2.883243388,1.74E-02,1.00E+00
1280,232805_at,-2.896914718,1.73E-02,1.00E+00
88,201116_s_at,-2.905290521,8.30E-03,1.00E+00
1165,229461_x_at,-2.906018651,1.57E-02,1.00E+00
773,218087_s_at,-2.916290103,1.43E-02,1.00E+00
357,205884_at,-2.925300525,1.08E-02,1.00E+00
1453,242767_at,-2.944658488,1.56E-02,1.00E+00
1433,241897_at,-2.952773523,1.24E-02,1.00E+00
1193,230000_at,-2.954638187,1.17E-02,1.00E+00
89,201117_s_at,-2.955699527,6.97E-03,1.00E+00
1008,226558_at,-2.992857752,5.62E-03,1.00E+00
684,214146_s_at,-2.999209702,1.38E-02,1.00E+00
307,205433_at,-3.008991674,1.29E-02,1.00E+00
101,201848_s_at,-3.019934969,6.23E-03,1.00E+00
1321,235592_at,-3.023592675,1.28E-02,1.00E+00
706,214841_at,-3.03320596,1.16E-02,1.00E+00
503,209465_x_at,-3.043019515,1.32E-02,1.00E+00
19,1554007_at,-3.044426207,9.96E-03,1.00E+00
283,205207_at,-3.050208145,1.12E-02,1.00E+00
1454,242836_at,-3.055689084,1.14E-02,1.00E+00
1200,230175_s_at,-3.064971206,4.87E-03,1.00E+00
979,225894_at,-3.068556252,1.25E-02,1.00E+00
1264,232453_at,-3.079912208,1.15E-02,1.00E+00
976,225720_at,-3.087168161,1.14E-02,1.00E+00
1144,229011_at,-3.089553844,4.78E-03,1.00E+00
1307,235183_at,-3.093231073,1.21E-02,1.00E+00
96,201525_at,-3.105994119,6.70E-03,1.00E+00
510,209598_at,-3.127571856,4.09E-03,1.00E+00
317,205514_at,-3.127748121,8.42E-03,1.00E+00
108,202274_at,-3.129856281,9.65E-03,1.00E+00
216,204533_at,-3.133466172,6.73E-03,1.00E+00
842,220146_at,-3.141657204,9.74E-03,1.00E+00
799,219463_at,-3.147848342,1.08E-02,1.00E+00
897,222717_at,-3.159900965,1.01E-02,1.00E+00
1145,229024_at,-3.162448024,1.03E-02,1.00E+00
1403,239580_at,-3.162517348,1.01E-02,1.00E+00
583,210933_s_at,-3.174033711,3.63E-03,1.00E+00
971,225540_at,-3.198104581,5.26E-03,1.00E+00
872,221491_x_at,-3.200300861,4.53E-03,1.00E+00
247,204844_at,-3.209826993,6.25E-03,1.00E+00
893,222326_at,-3.216012436,5.84E-03,1.00E+00
20,1554008_at,-3.225974536,9.92E-03,1.00E+00
666,213895_at,-3.231672411,3.95E-03,1.00E+00
1351,236495_at,-3.23239719,7.91E-03,1.00E+00
819,219908_at,-3.237848313,8.00E-03,1.00E+00
240,204776_at,-3.239899949,9.37E-03,1.00E+00
1040,227148_at,-3.260088551,7.30E-03,1.00E+00
559,210299_s_at,-3.273034301,7.91E-03,1.00E+00
1465,244026_at,-3.273379898,6.97E-03,1.00E+00
1072,227662_at,-3.292163228,7.80E-03,1.00E+00
1432,241891_at,-3.293805419,5.67E-03,1.00E+00
1130,228731_at,-3.297441392,6.87E-03,1.00E+00
914,223435_s_at,-3.301279356,3.10E-03,1.00E+00
816,219872_at,-3.301505636,4.72E-03,1.00E+00
60,1558828_s_at,-3.323444182,7.44E-03,1.00E+00
1347,236313_at,-3.335822474,2.32E-03,1.00E+00
1398,239258_at,-3.33705558,6.73E-03,1.00E+00
923,223599_at,-3.354536408,4.22E-03,1.00E+00
303,205399_at,-3.36079396,5.59E-03,1.00E+00
1163,229435_at,-3.36870554,2.55E-03,1.00E+00
70,1560359_at,-3.381065849,7.11E-03,1.00E+00
333,205666_at,-3.38459719,7.50E-03,1.00E+00
1281,232882_at,-3.389369665,4.00E-03,1.00E+00
414,206471_s_at,-3.393366624,7.02E-03,1.00E+00
1247,231940_at,-3.396792534,1.99E-03,1.00E+00
1260,232297_at,-3.410618314,5.20E-03,1.00E+00
614,212657_s_at,-3.415016618,3.20E-03,1.00E+00
470,207610_s_at,-3.437601586,4.79E-03,1.00E+00
1464,243993_at,-3.447662815,3.75E-03,1.00E+00
1148,229125_at,-3.451091316,6.49E-03,1.00E+00
1112,228365_at,-3.452755325,2.09E-03,1.00E+00
1319,235568_at,-3.459204141,6.21E-03,1.00E+00
896,222668_at,-3.479543403,1.48E-03,1.00E+00
128,202920_at,-3.492414465,5.66E-03,1.00E+00
29,1554547_at,-3.502033329,5.39E-03,1.00E+00
848,220301_at,-3.505265478,4.98E-03,1.00E+00
46,1555938_x_at,-3.512126268,5.99E-03,1.00E+00
694,214453_s_at,-3.513350057,3.17E-03,1.00E+00
1134,228766_at,-3.531642085,4.44E-03,1.00E+00
980,225895_at,-3.537309377,4.65E-03,1.00E+00
798,219454_at,-3.537413847,3.42E-03,1.00E+00
701,214702_at,-3.549163649,5.95E-03,1.00E+00
1110,228335_at,-3.564034973,4.21E-03,1.00E+00
956,224646_x_at,-3.567588361,1.46E-03,1.00E+00
813,219789_at,-3.576511969,5.38E-03,1.00E+00
840,220122_at,-3.584320285,3.13E-03,1.00E+00
709,214920_at,-3.600192977,4.73E-03,1.00E+00
1115,228407_at,-3.606562879,5.05E-03,1.00E+00
383,206115_at,-3.619866873,2.79E-03,1.00E+00
994,226164_x_at,-3.62531347,4.60E-03,1.00E+00
718,215077_at,-3.634394403,4.93E-03,1.00E+00
883,221911_at,-3.644656478,1.42E-03,1.00E+00
523,209795_at,-3.645406168,2.94E-03,1.00E+00
1408,240038_at,-3.645634447,3.90E-03,1.00E+00
1290,233496_s_at,-3.646802977,3.85E-03,1.00E+00
1089,227874_at,-3.649687461,4.32E-03,1.00E+00
425,206638_at,-3.650820139,5.14E-03,1.00E+00
104,202037_s_at,-3.6571058,4.90E-03,1.00E+00
300,205357_s_at,-3.675939659,4.49E-03,1.00E+00
1234,231240_at,-3.700177257,2.48E-03,1.00E+00
1098,228107_at,-3.713959261,4.11E-03,1.00E+00
1269,232544_at,-3.719458609,3.92E-03,1.00E+00
924,223614_at,-3.737440827,4.19E-03,1.00E+00
1102,228186_s_at,-3.73847655,2.94E-03,1.00E+00
665,213894_at,-3.739661801,3.79E-03,1.00E+00
1426,241780_at,-3.74020752,3.08E-03,1.00E+00
801,219574_at,-3.745599756,3.54E-03,1.00E+00
1015,226682_at,-3.748807177,1.62E-03,1.00E+00
727,215294_s_at,-3.762473513,2.05E-03,1.00E+00
947,224352_s_at,-3.773604518,2.65E-03,1.00E+00
1056,227458_at,-3.778276022,2.02E-03,1.00E+00
925,223620_at,-3.79399374,1.51E-03,1.00E+00
1445,242471_at,-3.809140373,1.96E-03,1.00E+00
161,203876_s_at,-3.813095498,3.22E-03,1.00E+00
1263,232431_at,-3.840307645,2.30E-03,1.00E+00
471,207753_at,-3.843973196,9.31E-04,8.69E-01
1027,226885_at,-3.84745797,7.34E-04,7.03E-01
725,215199_at,-3.850894901,3.44E-03,1.00E+00
588,211379_x_at,-3.854663837,1.30E-03,1.00E+00
51,1556935_at,-3.860258233,3.01E-03,1.00E+00
539,209959_at,-3.874073548,3.04E-03,1.00E+00
412,206439_at,-3.877585671,3.62E-03,1.00E+00
603,212122_at,-3.88051118,1.35E-03,1.00E+00
912,223374_s_at,-3.884636906,1.18E-03,1.00E+00
1282,232935_at,-3.886407648,1.34E-03,1.00E+00
1171,229578_at,-3.897608042,2.75E-03,1.00E+00
990,226142_at,-3.911242061,4.93E-04,4.94E-01
102,201849_at,-3.917535838,5.43E-04,5.38E-01
1299,234994_at,-3.935210157,4.20E-04,4.23E-01
515,209676_at,-3.949729834,9.04E-04,8.46E-01
176,204035_at,-3.96457159,8.33E-04,7.87E-01
415,206488_s_at,-3.978849064,1.68E-03,1.00E+00
1220,230748_at,-3.983969206,1.65E-03,1.00E+00
661,213817_at,-3.993721023,1.83E-03,1.00E+00
575,210772_at,-3.997570643,8.12E-04,7.71E-01
937,223800_s_at,-3.999229164,1.83E-03,1.00E+00
218,204563_at,-4.001090948,7.58E-04,7.24E-01
54,1557080_s_at,-4.027599237,2.78E-03,1.00E+00
229,204672_s_at,-4.038085391,1.52E-03,1.00E+00
929,223672_at,-4.038599046,2.44E-03,1.00E+00
274,205122_at,-4.042242344,5.67E-04,5.57E-01
1065,227565_at,-4.0423453,1.40E-03,1.00E+00
1327,235740_at,-4.045035059,1.52E-03,1.00E+00
1045,227233_at,-4.066454628,1.95E-03,1.00E+00
343,205782_at,-4.073543873,2.54E-03,1.00E+00
1314,235385_at,-4.077926734,2.06E-03,1.00E+00
1128,228698_at,-4.085526789,1.72E-03,1.00E+00
959,224942_at,-4.092638272,1.58E-03,1.00E+00
957,224940_s_at,-4.096355196,1.47E-03,1.00E+00
1353,236561_at,-4.117219886,1.76E-03,1.00E+00
846,220253_s_at,-4.120299277,1.24E-03,1.00E+00
1456,242943_at,-4.120710219,1.30E-03,1.00E+00
1159,229327_s_at,-4.142238263,1.63E-03,1.00E+00
1446,242546_at,-4.159287134,1.51E-03,1.00E+00
145,203485_at,-4.161898547,1.60E-03,1.00E+00
243,204793_at,-4.165854009,1.43E-03,1.00E+00
1459,243041_s_at,-4.170345865,1.14E-03,1.00E+00
1394,238906_s_at,-4.171490685,1.48E-03,1.00E+00
824,219947_at,-4.172704075,1.01E-03,9.39E-01
207,204439_at,-4.175254493,8.88E-04,8.35E-01
1285,233109_at,-4.189895153,1.86E-03,1.00E+00
1420,241457_at,-4.20123034,1.73E-03,1.00E+00
984,225987_at,-4.223134418,1.12E-03,1.00E+00
1175,229635_at,-4.227191578,1.93E-03,1.00E+00
474,207978_s_at,-4.228243971,1.68E-03,1.00E+00
873,221523_s_at,-4.229145187,5.93E-04,5.80E-01
98,201645_at,-4.235540402,8.54E-04,8.04E-01
1046,227235_at,-4.245065077,1.15E-03,1.00E+00
1208,230493_at,-4.245257737,1.12E-03,1.00E+00
1391,238852_at,-4.246956337,1.00E-03,9.29E-01
79,1568765_at,-4.247462519,1.05E-03,9.71E-01
1067,227568_at,-4.265773637,9.18E-04,8.57E-01
378,206067_s_at,-4.268968351,2.68E-04,2.78E-01
1147,229084_at,-4.295743652,1.16E-03,1.00E+00
273,205114_s_at,-4.304012906,7.41E-04,7.09E-01
1362,236901_at,-4.310615863,1.22E-03,1.00E+00
252,204913_s_at,-4.311299485,1.74E-03,1.00E+00
212,204466_s_at,-4.317029163,3.55E-04,3.62E-01
874,221667_s_at,-4.317243158,1.48E-03,1.00E+00
1323,235629_at,-4.317261996,1.62E-03,1.00E+00
57,1557961_s_at,-4.320027737,1.47E-03,1.00E+00
443,206953_s_at,-4.32794554,8.92E-04,8.37E-01
318,205518_s_at,-4.331694101,8.08E-04,7.67E-01
1051,227370_at,-4.337007383,7.34E-04,7.03E-01
983,225978_at,-4.373486843,1.20E-03,1.00E+00
189,204259_at,-4.390631488,2.35E-04,2.47E-01
670,213933_at,-4.403419774,1.14E-03,1.00E+00
335,205681_at,-4.410271184,4.35E-04,4.38E-01
555,210170_at,-4.431846156,1.28E-03,1.00E+00
323,205535_s_at,-4.437714261,1.37E-03,1.00E+00
536,209948_at,-4.44925572,1.19E-03,1.00E+00
1430,241864_x_at,-4.452771936,9.05E-04,8.46E-01
669,213909_at,-4.453144168,1.28E-03,1.00E+00
322,205534_at,-4.467045265,8.30E-04,7.85E-01
1049,227289_at,-4.467863405,1.02E-03,9.48E-01
1328,235759_at,-4.46949329,1.19E-03,1.00E+00
1316,235438_at,-4.487397392,7.70E-04,7.34E-01
1227,231067_s_at,-4.505234642,4.42E-04,4.44E-01
1443,242397_at,-4.5053022,1.28E-03,1.00E+00
393,206201_s_at,-4.511590182,6.05E-04,5.90E-01
379,206070_s_at,-4.513627224,1.23E-03,1.00E+00
160,203874_s_at,-4.52947833,2.33E-04,2.45E-01
502,209406_at,-4.53230361,1.12E-04,1.24E-01
1122,228501_at,-4.533433994,1.12E-03,1.00E+00
127,202917_s_at,-4.539592512,1.51E-04,1.63E-01
960,224997_x_at,-4.539745292,1.16E-04,1.27E-01
1075,227688_at,-4.54303381,1.08E-03,9.93E-01
1451,242680_at,-4.546298008,9.72E-04,9.04E-01
1252,232090_at,-4.547894209,9.58E-04,8.93E-01
580,210875_s_at,-4.548910296,1.04E-03,9.60E-01
328,205578_at,-4.549148143,2.19E-04,2.31E-01
1209,230550_at,-4.551878888,5.45E-04,5.39E-01
1167,229530_at,-4.556237746,5.61E-04,5.52E-01
779,218824_at,-4.570347123,1.02E-03,9.46E-01
1185,229800_at,-4.572262011,6.71E-04,6.48E-01
529,209875_s_at,-4.573270907,1.17E-04,1.29E-01
1007,226545_at,-4.588377939,3.92E-04,3.97E-01
542,210004_at,-4.590200381,1.16E-03,1.00E+00
815,219836_at,-4.598189263,8.03E-04,7.64E-01
137,203153_at,-4.63220528,3.48E-04,3.55E-01
1344,236262_at,-4.641070991,8.34E-04,7.87E-01
767,217599_s_at,-4.645742773,2.19E-04,2.32E-01
185,204221_x_at,-4.649475431,5.93E-05,6.82E-02
213,204468_s_at,-4.661612079,7.12E-04,6.85E-01
530,209894_at,-4.669354792,2.37E-04,2.48E-01
1103,228202_at,-4.680145415,7.93E-04,7.54E-01
320,205528_s_at,-4.687018313,8.33E-04,7.87E-01
501,209396_s_at,-4.698255631,8.32E-05,9.40E-02
659,213797_at,-4.717959029,3.78E-04,3.83E-01
1270,232568_at,-4.723714112,8.91E-04,8.37E-01
1133,228750_at,-4.725258965,6.44E-04,6.23E-01
244,204796_at,-4.738041572,7.11E-04,6.84E-01
1170,229560_at,-4.749976361,2.84E-04,2.93E-01
1431,241872_at,-4.758570381,5.94E-04,5.81E-01
400,206227_at,-4.778813909,6.42E-04,6.21E-01
1300,235044_at,-4.784113189,5.99E-04,5.85E-01
1303,235086_at,-4.784512286,5.48E-04,5.40E-01
22,1554195_a_at,-4.793144608,8.27E-04,7.84E-01
1449,242625_at,-4.793544703,3.72E-04,3.77E-01
170,203951_at,-4.8063013,6.29E-04,6.11E-01
508,209555_s_at,-4.80961543,5.87E-04,5.75E-01
677,214038_at,-4.811939708,5.54E-04,5.46E-01
155,203766_s_at,-4.829186724,6.06E-04,5.91E-01
551,210146_x_at,-4.83970116,4.14E-04,4.18E-01
500,209395_at,-4.84037497,4.01E-05,4.70E-02
584,210942_s_at,-4.845488282,7.58E-04,7.24E-01
1228,231098_at,-4.847789131,6.31E-04,6.13E-01
868,221261_x_at,-4.851582918,2.76E-04,2.86E-01
177,204042_at,-4.852783285,5.49E-04,5.41E-01
817,219890_at,-4.858691477,7.33E-04,7.03E-01
270,205083_at,-4.863912933,6.41E-04,6.21E-01
1080,227727_at,-4.873285894,5.18E-04,5.15E-01
532,209924_at,-4.893050073,3.11E-04,3.20E-01
182,204154_at,-4.907665635,6.76E-04,6.51E-01
887,222043_at,-4.909475317,6.37E-04,6.18E-01
52,1557049_at,-4.911670075,3.56E-04,3.63E-01
39,1555728_a_at,-4.924011771,4.47E-04,4.49E-01
949,224358_s_at,-4.925743799,4.94E-04,4.94E-01
885,221942_s_at,-4.946741757,2.54E-04,2.65E-01
304,205404_at,-4.953218819,2.41E-04,2.52E-01
1356,236738_at,-4.960148107,5.00E-04,4.98E-01
728,215306_at,-4.96933548,5.68E-04,5.57E-01
1003,226435_at,-4.982708098,1.47E-04,1.59E-01
1215,230708_at,-4.983991307,6.68E-04,6.45E-01
1317,235489_at,-4.991444539,2.63E-04,2.73E-01
1166,229479_at,-5.002573133,5.76E-04,5.65E-01
619,212775_at,-5.008278324,6.86E-05,7.82E-02
608,212397_at,-5.012789266,5.45E-05,6.30E-02
506,209540_at,-5.014478396,9.85E-05,1.10E-01
1048,227239_at,-5.035305445,5.49E-05,6.34E-02
546,210119_at,-5.038765901,3.81E-04,3.86E-01
624,212992_at,-5.038988946,3.97E-05,4.66E-02
141,203305_at,-5.042271274,2.62E-04,2.73E-01
1117,228438_at,-5.072791858,4.72E-04,4.73E-01
490,209170_s_at,-5.080900186,3.20E-04,3.29E-01
