,Probe_ID,statistic,pvalue,adj_p_value
648,213496_at,-5.098236426,3.63E-04,3.69E-01
1320,235570_at,-5.103420358,1.27E-04,1.38E-01
700,214701_s_at,-5.109921615,4.57E-04,4.58E-01
1156,229271_x_at,-5.111448529,5.61E-04,5.52E-01
1427,241789_at,-5.124865518,1.04E-04,1.16E-01
789,219134_at,-5.132265786,1.31E-04,1.43E-01
693,214452_at,-5.132392006,4.47E-04,4.49E-01
208,204456_s_at,-5.165779692,4.95E-04,4.94E-01
245,204797_s_at,-5.169617645,3.15E-04,3.23E-01
40,1555756_a_at,-5.17091179,2.77E-04,2.86E-01
600,211776_s_at,-5.170996592,2.51E-05,3.03E-02
1139,228863_at,-5.174245532,1.50E-04,1.63E-01
228,204671_s_at,-5.174783257,2.29E-04,2.42E-01
1322,235593_at,-5.199022139,4.08E-04,4.12E-01
120,202627_s_at,-5.201969099,8.25E-05,9.33E-02
173,204006_s_at,-5.208431325,2.14E-04,2.27E-01
1455,242881_x_at,-5.212370586,1.40E-04,1.53E-01
187,204235_s_at,-5.220411477,1.45E-05,1.79E-02
507,209541_at,-5.230870107,4.77E-05,5.55E-02
556,210176_at,-5.27640859,2.01E-04,2.14E-01
275,205139_s_at,-5.278623641,1.52E-04,1.64E-01
1068,227618_at,-5.306163094,2.96E-04,3.05E-01
1063,227529_s_at,-5.315845286,4.39E-05,5.15E-02
1099,228128_x_at,-5.318945026,1.03E-04,1.14E-01
1233,231202_at,-5.319661212,6.92E-05,7.89E-02
33,1554899_s_at,-5.322124486,9.31E-05,1.04E-01
131,202988_s_at,-5.323271503,1.57E-05,1.94E-02
21,1554018_at,-5.323412991,2.06E-04,2.19E-01
1017,226701_at,-5.327871928,2.54E-04,2.65E-01
1135,228776_at,-5.328088345,1.35E-04,1.47E-01
253,204914_s_at,-5.333023902,3.37E-04,3.45E-01
958,224941_at,-5.333161188,1.15E-04,1.27E-01
1470,244313_at,-5.333306872,1.96E-04,2.09E-01
1047,227236_at,-5.336330628,6.98E-05,7.95E-02
287,205237_at,-5.337923276,2.32E-04,2.44E-01
121,202628_s_at,-5.337949166,6.19E-05,7.08E-02
119,202499_s_at,-5.345994287,6.10E-05,6.98E-02
1226,231001_at,-5.34618257,3.21E-04,3.29E-01
617,212764_at,-5.347574725,1.46E-04,1.58E-01
188,204237_at,-5.363902242,1.01E-05,1.27E-02
796,219410_at,-5.379095016,3.38E-05,3.99E-02
1326,235733_at,-5.392080534,9.96E-05,1.11E-01
1116,228423_at,-5.392675095,2.77E-04,2.86E-01
349,205803_s_at,-5.398476426,2.19E-04,2.31E-01
489,209167_at,-5.422552008,1.57E-04,1.69E-01
484,208396_s_at,-5.43983256,2.41E-04,2.52E-01
1064,227530_at,-5.440853633,2.93E-05,3.49E-02
935,223767_at,-5.452515965,8.85E-05,9.94E-02
91,201149_s_at,-5.486163901,1.65E-04,1.77E-01
845,220244_at,-5.488758473,2.66E-04,2.77E-01
1477,32128_at,-5.494190456,5.45E-05,6.30E-02
221,204597_x_at,-5.496147011,1.28E-05,1.60E-02
193,204284_at,-5.500740634,1.90E-04,2.02E-01
1239,231721_at,-5.50171573,2.70E-04,2.80E-01
319,205525_at,-5.530953932,1.32E-04,1.44E-01
1324,235631_at,-5.531166424,2.51E-04,2.62E-01
577,210815_s_at,-5.533917421,1.54E-04,1.66E-01
306,205422_s_at,-5.548486278,2.55E-04,2.65E-01
609,212398_at,-5.554770763,2.21E-05,2.69E-02
770,217966_s_at,-5.556606842,1.73E-04,1.85E-01
566,210423_s_at,-5.56380357,1.87E-04,1.99E-01
889,222162_s_at,-5.578341036,8.55E-05,9.63E-02
1025,226847_at,-5.587772857,1.47E-04,1.59E-01
186,204222_s_at,-5.606665812,4.59E-06,5.99E-03
1224,230836_at,-5.617205745,2.78E-05,3.33E-02
710,214927_at,-5.635627328,1.87E-04,1.99E-01
704,214770_at,-5.638915779,2.09E-04,2.21E-01
962,225045_at,-5.650865845,8.39E-05,9.47E-02
769,217889_s_at,-5.652530121,6.43E-06,8.30E-03
895,222486_s_at,-5.654270625,1.62E-04,1.74E-01
673,213993_at,-5.654839333,1.81E-05,2.22E-02
635,213241_at,-5.665614638,2.93E-05,3.49E-02
257,204938_s_at,-5.6663686,1.79E-04,1.91E-01
259,204940_at,-5.700644407,1.39E-04,1.51E-01
1197,230130_at,-5.720283505,2.07E-05,2.52E-02
338,205713_s_at,-5.736944457,1.88E-04,2.00E-01
1069,227623_at,-5.741000528,1.14E-04,1.26E-01
465,207426_s_at,-5.741047247,8.88E-05,9.95E-02
147,203561_at,-5.745614689,4.73E-05,5.52E-02
371,205991_s_at,-5.752652308,3.68E-05,4.34E-02
258,204939_s_at,-5.764577312,1.23E-04,1.34E-01
1104,228224_at,-5.767655597,1.75E-04,1.88E-01
833,220014_at,-5.782965357,7.33E-05,8.33E-02
1219,230746_s_at,-5.811385694,2.71E-06,3.59E-03
632,213135_at,-5.834616946,7.72E-06,9.89E-03
622,212865_s_at,-5.842370431,5.98E-05,6.86E-02
581,210889_s_at,-5.848960069,8.34E-05,9.42E-02
582,210895_s_at,-5.852523624,7.95E-05,9.00E-02
348,205802_at,-5.87023984,9.22E-05,1.03E-01
493,209242_at,-5.87376051,1.09E-04,1.20E-01
174,204007_at,-5.876978595,5.64E-05,6.51E-02
674,213994_s_at,-5.892239676,1.65E-06,2.22E-03
1,1552309_a_at,-5.904690315,8.94E-05,1.00E-01
627,213071_at,-5.910273511,1.45E-04,1.57E-01
1286,233364_s_at,-5.910862445,1.40E-04,1.53E-01
1354,236600_at,-5.915707182,1.51E-04,1.63E-01
262,204963_at,-5.930873533,3.94E-05,4.62E-02
1101,228141_at,-5.93293486,5.63E-06,7.29E-03
197,204337_at,-5.943767589,8.04E-06,1.02E-02
314,205499_at,-5.949625574,1.26E-06,1.71E-03
730,215440_s_at,-5.981975936,5.67E-05,6.54E-02
797,219434_at,-5.985182392,3.36E-05,3.98E-02
1217,230730_at,-6.00000519,1.15E-04,1.26E-01
775,218469_at,-6.005928615,7.20E-06,9.24E-03
1334,235944_at,-6.035175047,5.87E-05,6.75E-02
989,226103_at,-6.049798733,5.44E-05,6.30E-02
1380,238447_at,-6.057431719,9.56E-06,1.21E-02
804,219631_at,-6.064600673,5.64E-06,7.30E-03
882,221900_at,-6.075049539,1.21E-04,1.32E-01
31,1554741_s_at,-6.076039663,4.12E-05,4.83E-02
261,204959_at,-6.097733848,2.69E-05,3.23E-02
282,205206_at,-6.110341506,8.02E-06,1.02E-02
975,225688_s_at,-6.112856527,1.17E-05,1.46E-02
265,205003_at,-6.123786856,4.55E-06,5.94E-03
297,205330_at,-6.127454351,2.74E-05,3.29E-02
905,222880_at,-6.139339426,7.26E-05,8.25E-02
64,1559477_s_at,-6.143872506,4.71E-05,5.50E-02
1218,230741_at,-6.159505951,5.13E-05,5.97E-02
612,212607_at,-6.161455163,2.83E-05,3.38E-02
818,219892_at,-6.167715901,7.94E-05,8.99E-02
1306,235182_at,-6.169253362,5.19E-05,6.02E-02
995,226225_at,-6.175222303,2.86E-05,3.41E-02
175,204030_s_at,-6.208060198,2.43E-05,2.94E-02
260,204955_at,-6.216694545,2.67E-05,3.21E-02
1077,227705_at,-6.220356695,5.25E-05,6.08E-02
965,225285_at,-6.230852103,2.18E-05,2.66E-02
702,214761_at,-6.240847647,1.74E-05,2.14E-02
250,204894_s_at,-6.243484753,2.65E-05,3.19E-02
1207,230482_at,-6.252120061,8.90E-05,9.97E-02
884,221933_at,-6.252663486,8.76E-05,9.85E-02
285,205226_at,-6.259681726,5.97E-05,6.86E-02
802,219607_s_at,-6.264128647,6.06E-06,7.83E-03
1142,228974_at,-6.269301048,9.11E-05,1.02E-01
495,209283_at,-6.273921304,6.05E-05,6.93E-02
892,222288_at,-6.282337739,5.72E-06,7.39E-03
698,214587_at,-6.292714112,9.00E-05,1.01E-01
1385,238617_at,-6.299215104,1.33E-05,1.65E-02
142,203382_s_at,-6.324501765,3.76E-05,4.43E-02
623,212950_at,-6.327815349,4.53E-06,5.91E-03
1137,228850_s_at,-6.331780295,1.19E-05,1.49E-02
148,203570_at,-6.33990166,1.06E-05,1.34E-02
615,212681_at,-6.361473974,4.30E-07,5.96E-04
774,218468_s_at,-6.364348775,2.04E-06,2.74E-03
598,211668_s_at,-6.368278983,1.05E-05,1.33E-02
430,206710_s_at,-6.369660007,3.91E-07,5.43E-04
231,204688_at,-6.384328859,1.30E-05,1.61E-02
451,207191_s_at,-6.39072539,2.02E-05,2.46E-02
771,217967_s_at,-6.399249848,1.97E-05,2.40E-02
791,219228_at,-6.402920684,3.89E-05,4.58E-02
829,219985_at,-6.421953885,5.70E-05,6.57E-02
291,205269_at,-6.423012478,1.15E-06,1.56E-03
735,215617_at,-6.424088815,5.79E-05,6.66E-02
961,225021_at,-6.475088508,2.14E-06,2.86E-03
1149,229127_at,-6.485476364,2.94E-05,3.50E-02
1172,229584_at,-6.496435938,2.27E-05,2.75E-02
1338,236044_at,-6.498286952,4.94E-05,5.75E-02
593,211555_s_at,-6.501264764,2.39E-05,2.90E-02
27,1554474_a_at,-6.507041858,1.38E-05,1.71E-02
655,213764_s_at,-6.524240656,7.67E-05,8.70E-02
911,223343_at,-6.538398093,4.16E-06,5.46E-03
1031,226997_at,-6.542892801,8.29E-06,1.05E-02
1071,227646_at,-6.561064654,2.72E-05,3.26E-02
289,205249_at,-6.571478864,5.55E-06,7.20E-03
568,210517_s_at,-6.582679218,7.22E-07,9.95E-04
755,216950_s_at,-6.583329946,2.43E-05,2.94E-02
1014,226677_at,-6.585124739,7.40E-06,9.48E-03
321,205529_s_at,-6.605972576,2.67E-05,3.21E-02
537,209949_at,-6.606059865,5.41E-06,7.01E-03
431,206715_at,-6.624905757,3.03E-05,3.60E-02
1010,226612_at,-6.631412071,5.18E-05,6.02E-02
118,202498_s_at,-6.640472409,1.64E-05,2.01E-02
1254,232113_at,-6.65403479,2.81E-05,3.36E-02
242,204787_at,-6.661682982,1.40E-05,1.73E-02
795,219386_s_at,-6.673864692,1.15E-05,1.44E-02
604,212233_at,-6.686006434,1.25E-05,1.56E-02
1421,241473_at,-6.686627407,1.29E-05,1.60E-02
505,209524_at,-6.736902952,1.28E-05,1.60E-02
1169,229554_at,-6.744370094,1.40E-05,1.73E-02
1152,229218_at,-6.746604316,1.57E-06,2.12E-03
888,222088_s_at,-6.767973123,6.49E-06,8.37E-03
878,221748_s_at,-6.77023146,5.25E-06,6.81E-03
194,204298_s_at,-6.773026349,1.45E-05,1.79E-02
1257,232204_at,-6.798094545,2.79E-05,3.33E-02
327,205568_at,-6.802444729,1.39E-06,1.88E-03
1332,235821_at,-6.804943143,2.21E-05,2.69E-02
751,216598_s_at,-6.809913895,7.85E-06,1.00E-02
435,206796_at,-6.842571949,1.91E-05,2.34E-02
105,202133_at,-6.863373302,1.59E-06,2.14E-03
1132,228739_at,-6.885458911,2.93E-05,3.49E-02
1016,226695_at,-6.897338026,4.84E-07,6.71E-04
1161,229357_at,-6.902625002,6.78E-06,8.73E-03
993,226152_at,-6.909172728,6.71E-06,8.65E-03
988,226084_at,-6.909887602,3.60E-06,4.73E-03
633,213139_at,-6.930335545,2.46E-06,3.28E-03
1216,230722_at,-6.93866382,2.00E-05,2.44E-02
337,205700_at,-6.940396388,2.30E-05,2.78E-02
1244,231842_at,-6.953591113,1.70E-05,2.08E-02
1475,244741_s_at,-6.955441184,2.15E-05,2.62E-02
111,202311_s_at,-6.985107013,8.45E-08,1.20E-04
1386,238623_at,-6.989585139,9.66E-06,1.22E-02
5,1552508_at,-7.011860649,3.32E-05,3.93E-02
1119,228481_at,-7.027501533,1.06E-05,1.34E-02
531,209897_s_at,-7.035023423,1.31E-06,1.78E-03
811,219773_at,-7.040309883,1.67E-05,2.06E-02
344,205786_s_at,-7.04404108,1.07E-05,1.35E-02
1136,228827_at,-7.045691251,7.98E-06,1.02E-02
576,210809_s_at,-7.066510383,5.67E-08,8.10E-05
822,219935_at,-7.076346345,3.56E-06,4.68E-03
686,214212_x_at,-7.093211597,1.61E-05,1.99E-02
838,220092_s_at,-7.096227767,2.81E-05,3.36E-02
516,209687_at,-7.109289979,3.15E-06,4.15E-03
916,223475_at,-7.118547873,7.60E-06,9.73E-03
1345,236297_at,-7.130061305,4.31E-06,5.64E-03
1019,226769_at,-7.136048035,2.91E-06,3.84E-03
1186,229802_at,-7.152961593,1.05E-06,1.43E-03
1013,226676_at,-7.161668078,8.24E-07,1.13E-03
422,206584_at,-7.175140346,1.96E-07,2.75E-04
144,203477_at,-7.182282257,1.38E-07,1.95E-04
87,201058_s_at,-7.19372359,3.00E-06,3.96E-03
626,213068_at,-7.201855608,1.01E-05,1.27E-02
110,202291_s_at,-7.203382645,2.46E-06,3.28E-03
1153,229225_at,-7.214638378,1.26E-05,1.57E-02
981,225946_at,-7.237686827,9.07E-06,1.15E-02
968,225442_at,-7.238354507,6.95E-06,8.94E-03
1325,235723_at,-7.246883435,1.96E-05,2.39E-02
974,225681_at,-7.247394528,4.18E-08,6.01E-05
656,213765_at,-7.263664142,3.26E-05,3.87E-02
97,201617_x_at,-7.276611494,1.14E-06,1.55E-03
90,201147_s_at,-7.284252602,2.06E-06,2.76E-03
986,226069_at,-7.308447801,2.58E-05,3.11E-02
657,213790_at,-7.326452702,1.53E-05,1.89E-02
610,212489_at,-7.340122024,1.89E-07,2.65E-04
520,209758_s_at,-7.342403905,2.24E-05,2.72E-02
731,215446_s_at,-7.359350455,9.40E-07,1.29E-03
180,204069_at,-7.360251825,2.52E-06,3.34E-03
973,225651_at,-7.369512966,9.55E-08,1.35E-04
538,209955_s_at,-7.376038182,7.86E-08,1.12E-04
776,218502_s_at,-7.384172256,1.01E-07,1.43E-04
326,205559_s_at,-7.384295122,1.00E-07,1.42E-04
746,216321_s_at,-7.421857857,4.33E-07,6.01E-04
1341,236179_at,-7.444022734,1.43E-07,2.02E-04
898,222719_s_at,-7.454287687,6.75E-06,8.69E-03
217,204557_s_at,-7.47079078,1.29E-05,1.60E-02
1180,229669_at,-7.502999494,8.56E-06,1.09E-02
43,1555778_a_at,-7.504664695,2.23E-08,3.23E-05
1022,226804_at,-7.533559389,1.17E-05,1.46E-02
129,202952_s_at,-7.539491329,9.63E-06,1.22E-02
594,211564_s_at,-7.550377125,4.18E-06,5.47E-03
1126,228640_at,-7.568536552,8.46E-07,1.16E-03
869,221276_s_at,-7.594691112,4.37E-06,5.71E-03
637,213316_at,-7.599933581,4.89E-06,6.36E-03
1006,226517_at,-7.601796441,6.80E-07,9.38E-04
605,212262_at,-7.627552675,1.02E-06,1.39E-03
514,209656_s_at,-7.639666817,1.18E-07,1.66E-04
567,210511_s_at,-7.642939222,1.65E-06,2.23E-03
1381,238455_at,-7.655469649,6.47E-07,8.95E-04
239,204749_at,-7.656088759,1.22E-05,1.53E-02
179,204052_s_at,-7.666472627,8.85E-06,1.12E-02
491,209209_s_at,-7.688994675,3.65E-06,4.79E-03
1011,226621_at,-7.693574176,3.36E-06,4.42E-03
630,213122_at,-7.699630296,7.89E-06,1.01E-02
1476,244885_at,-7.723850292,7.35E-06,9.43E-03
196,204320_at,-7.798981708,1.14E-06,1.55E-03
1053,227399_at,-7.860273411,2.54E-06,3.37E-03
479,208131_s_at,-7.873643844,2.25E-06,3.00E-03
660,213800_at,-7.887181027,6.39E-07,8.84E-04
374,206025_s_at,-7.966191788,1.40E-07,1.98E-04
951,224396_s_at,-7.971101901,1.80E-06,2.41E-03
1243,231841_s_at,-7.979175946,2.77E-06,3.66E-03
787,219087_at,-7.98018683,1.76E-07,2.47E-04
642,213429_at,-8.010597691,2.03E-07,2.85E-04
1001,226311_at,-8.017763094,4.62E-08,6.63E-05
671,213943_at,-8.045775713,4.62E-08,6.63E-05
151,203645_s_at,-8.052724171,1.45E-07,2.04E-04
1383,238478_at,-8.068449534,3.16E-06,4.16E-03
978,225790_at,-8.070178773,3.89E-06,5.10E-03
1039,227140_at,-8.071339816,4.65E-08,6.67E-05
611,212526_at,-8.078342398,4.71E-06,6.13E-03
381,206101_at,-8.086719109,2.60E-06,3.44E-03
115,202435_s_at,-8.09142844,8.45E-06,1.07E-02
1002,226425_at,-8.106413185,2.95E-06,3.89E-03
93,201431_s_at,-8.128973889,6.91E-09,1.01E-05
717,215049_x_at,-8.151800337,3.68E-07,5.12E-04
37,1555229_a_at,-8.16452569,1.17E-07,1.65E-04
977,225782_at,-8.170382272,2.88E-07,4.02E-04
763,217428_s_at,-8.194190097,1.12E-06,1.53E-03
492,209210_s_at,-8.207838451,2.35E-07,3.28E-04
1478,37512_at,-8.214334977,2.45E-06,3.27E-03
163,203887_s_at,-8.217639873,1.32E-06,1.79E-03
375,206026_s_at,-8.236078954,1.94E-08,2.81E-05
215,204527_at,-8.242252941,2.75E-07,3.84E-04
1384,238481_at,-8.256079776,9.43E-07,1.29E-03
1479,37892_at,-8.266866956,3.17E-07,4.42E-04
226,204646_at,-8.266931846,4.99E-09,7.31E-06
364,205941_s_at,-8.267272489,1.01E-06,1.38E-03
211,204464_s_at,-8.270178433,4.47E-08,6.42E-05
1036,227070_at,-8.271514605,9.82E-09,1.43E-05
778,218694_at,-8.283701756,1.33E-06,1.80E-03
456,207233_s_at,-8.345484708,2.39E-06,3.19E-03
136,203083_at,-8.3513725,1.53E-08,2.22E-05
277,205168_at,-8.354538493,2.08E-06,2.79E-03
1109,228333_at,-8.36171984,1.52E-06,2.06E-03
206,204438_at,-8.380524274,2.50E-08,3.61E-05
863,221019_s_at,-8.380691735,2.80E-06,3.70E-03
305,205407_at,-8.409342134,1.07E-06,1.46E-03
996,226237_at,-8.448213315,1.22E-08,1.77E-05
894,222379_at,-8.456552378,2.83E-06,3.74E-03
210,204463_s_at,-8.460645001,2.41E-08,3.48E-05
149,203603_s_at,-8.467063362,1.54E-07,2.17E-04
224,204619_s_at,-8.485050088,2.78E-08,4.01E-05
117,202437_s_at,-8.495650449,2.03E-06,2.73E-03
862,220979_s_at,-8.520800571,2.45E-06,3.26E-03
667,213905_x_at,-8.556219099,1.12E-08,1.63E-05
985,226066_at,-8.557115415,8.32E-07,1.14E-03
86,200986_at,-8.594023811,3.57E-07,4.97E-04
697,214511_x_at,-8.601762511,1.27E-06,1.72E-03
1066,227566_at,-8.642680186,1.09E-08,1.59E-05
736,215646_s_at,-8.670768934,9.09E-09,1.33E-05
631,213125_at,-8.679440262,7.42E-08,1.05E-04
877,221730_at,-8.723901304,6.95E-09,1.02E-05
1164,229459_at,-8.770160444,2.04E-07,2.87E-04
904,222877_at,-8.817317419,6.51E-07,8.99E-04
595,211571_s_at,-8.855293818,1.64E-08,2.37E-05
123,202765_s_at,-8.85707045,3.76E-07,5.23E-04
613,212636_at,-8.862202909,6.47E-08,9.23E-05
812,219778_at,-8.901592337,4.14E-07,5.76E-04
606,212344_at,-8.901814215,6.26E-08,8.94E-05
1240,231766_s_at,-8.938636013,3.13E-09,4.60E-06
99,201842_s_at,-8.949931165,1.92E-08,2.78E-05
92,201430_s_at,-8.963159801,1.21E-09,1.78E-06
1245,231879_at,-8.978952155,3.78E-09,5.55E-06
1313,235371_at,-9.002410972,2.70E-09,3.98E-06
607,212353_at,-9.151877572,2.79E-09,4.10E-06
847,220272_at,-9.162660619,5.01E-07,6.93E-04
1020,226777_at,-9.247742567,1.07E-08,1.55E-05
1265,232458_at,-9.249020771,3.63E-09,5.34E-06
178,204051_s_at,-9.27521408,2.84E-08,4.08E-05
596,211597_s_at,-9.28716144,7.72E-09,1.13E-05
1024,226834_at,-9.319589102,5.68E-08,8.12E-05
969,225464_at,-9.38602128,5.42E-08,7.76E-05
909,223121_s_at,-9.428148157,7.07E-08,1.01E-04
499,209335_at,-9.433294319,1.08E-08,1.58E-05
967,225381_at,-9.488715066,4.89E-07,6.77E-04
1097,228080_at,-9.523272962,2.33E-07,3.27E-04
1312,235318_at,-9.542833982,2.06E-07,2.88E-04
982,225968_at,-9.56891098,8.93E-08,1.27E-04
1034,227059_at,-9.586120512,2.01E-08,2.91E-05
339,205729_at,-9.629282645,7.73E-07,1.06E-03
1463,243864_at,-9.630250157,6.70E-07,9.24E-04
133,202995_s_at,-9.669577379,4.62E-09,6.78E-06
1035,227061_at,-9.715290111,7.40E-08,1.05E-04
1052,227376_at,-9.719811966,5.04E-08,7.21E-05
199,204359_at,-9.744845147,6.57E-09,9.61E-06
910,223122_s_at,-9.778745628,3.88E-10,5.73E-07
112,202363_at,-9.790113254,1.77E-08,2.56E-05
970,225481_at,-9.810654363,7.09E-09,1.03E-05
116,202436_s_at,-9.817137521,7.66E-07,1.05E-03
535,209946_at,-9.986585094,7.44E-08,1.06E-04
124,202766_s_at,-10.07033295,2.72E-10,4.02E-07
640,213413_at,-10.14343704,3.82E-09,5.60E-06
100,201843_s_at,-10.16032016,5.93E-09,8.68E-06
707,214844_s_at,-10.25873899,2.43E-09,3.58E-06
153,203695_s_at,-10.38639847,2.45E-08,3.53E-05
1030,226930_at,-10.70792668,2.35E-10,3.48E-07
356,205880_at,-10.87314889,1.36E-08,1.98E-05
964,225242_s_at,-11.61158035,7.26E-11,1.07E-07
209,204457_s_at,-12.31880504,3.01E-11,4.45E-08
271,205100_at,-13.1448119,4.83E-10,7.12E-07
